Nama_Pengguna,Tanggal,Rating,Komentar,Balasan_Developer,Jumlah_Like
Eka Jaya,2024-12-09,5,"Very nice and simple 👌 App very informative Alot easier to access the module Maybe on next update, the app can do landscape mode too instead only portrait view Anyway 👍 APP Kalau bisa ditambah di APP Gallery Huawei juga, biar makin lengkap selain Android dan iOS",,1
PelayanMu,2024-12-08,5,"hanya untuk yang daftar, jika belum hubungi admin :D",,0
Yon Game,2024-12-07,3,"Tolong honest reviewnya abang2 sekalian, gw lihat yg bintang 1 rata2 pada komen negatif pdhl gk join kelasnya dan yang bintang 5 kebanyakan kata2 template / review bayaran. Please yg udah nyobain tolong review jujurnya 🙏",,0
zea aleana,2024-12-06,3,Kok punya gue gak bisa login yaa?,,0
Rico Ajiyanto,2024-12-06,1,"harganya mahal tapi analisa marketnya ga jelas slaah mulu,materinya cuma basic. ga ada ilmu advance yg bisa di dapetin",,59
Reza Trie 213,2024-12-06,5,"Apakah untuk mengakses aplikasi ini harus menjadi member AC terlebih dahulu Terimakasih, semoga terjawab",,0
Supriatna,2024-12-05,5,Aplikasi informasi dan edukasi crypto terbaik di Indonesia. Xrp 300% mantap.,,0
ferry fedrik,2024-12-04,4,Maju bersama luar biasa AC terimakasih ya...,,0
syalom simorangkir,2024-12-04,5,Terima kasih AC..sukses selalu,,0
NeverLand Intermedia,2024-12-04,1,"Teruntuk yang blm jadi member, baca ketikan gw ini agar kalian selamat, gausah bayar member atau join grup ini kalau tidak ingin menyesal",,1
Reynard Y,2024-12-03,1,Calls avs banyak yang invalid gaada wr 80% wkwkwk,,0
Kingstar Bird Farm,2024-12-03,5,"Saya salah satu orang miskin yang mengikuti AC sejak muncul di 2023 lewat informasi gratisan AC, modal pertama 5jt naik 100% saya tarik modal buat kebutuhan , saya biarkan profit jalan sampai sekarang porto udah jadi 25juta semoga 2026 bisa jadi rumah buat keluarga kecilku.. Aamin... tks AC",,0
fahri spt2008,2024-12-03,1,"AC = Academy Crypto Scam, from Indonesia all of them AVS and Timothi only pump dan dump, many member has lost their money, jangan mudah tergiur dengan analisa mereka hanya pump dan dump.",,0
Rafli Aditya,2024-12-03,5,Yang bukan member ga diajak dek!,,0
Just Kang,2024-12-03,3,"Setelah saya bandingkan. AC ini lebih ke platform edukasi. Kalo lu pikir its wort it, then do it. Bagi saya kalo di banding harga dn kualitas kuantitas calls. Masih bagusan punya sulianto. Tapi kalo edukasi, AC ga ada lawan. Jadi saya kasih bintang 3 ""biasa saja"". Not good but not that bad.",,4
Zaki Hendrika,2024-12-03,1,Gimana nih udh masukin email Sama pw tetep gk bisa,,0
Coolangued,2024-12-02,1,Saya mau join akademi sekte ulti nolan,,0
J P,2024-12-02,1,APLIKASI JELEQ SEKEM,,0
ghifar ahmad,2024-12-02,1,"Gw bukan buzzer yg di bayar buat ngasih bintang 1 ke sini,gw asli member ac yg masuk sejak january,karna anjuran dri kalimasada gw hold dan dca trus koin koin yg mereka saranin,pas webinar switch btc ke alt di situ awal kehancuran hidup gw,gw kerja dri semenjak kuliah uang tabungan gw habis,koin yg gw beli rata rata turun 90-80%,hidup gw bener bener hancur dan lebih kecewa nya lgi mereka gk pduli sama sekali dengan member nya,semoga tuhan yg balas kebusukan mereka",,111
Fahri mr,2024-12-02,5,Semangat terus bro Timothy and tim,,0
Muhammad Faqih,2024-12-01,5,"Kali ini saya gak akan review aplikasi karna saya gak join,tapi... Pemilik aplikasi ini (Timothy Ronald)adalah orang yang menjadi sebab berubahnya kondisi ekonomi saya ke arah yang lebih baik.Saya pernah menyelamatkan orang tua saya yang penyakit tua rentanya sedang kambuh,dari hasil ilmu yang beliau(mas Timothy) share scr ""gratis"". Semangat terus buat mas Timothy&Tim AC.Kita gak akan bisa membuat seluruh dunia menyukai apa yang kita lakukan,sebaik apapun perbuatan yang kita lakukan tersebut💪.",,0
Mawan ERN,2024-12-01,5,Meskipun saya belum bisa join ke dalem tapi saya memasang nya karena impian saya untuk maauk ke dalam aplikasi nya🥰,,0
Dewi Putri kantor,2024-12-01,1,"Payah , katanya join 17 juta ada komunitas, eh pas ditanya admin tidak menjawab,sudah koin mahal mahal kena kibul doang",,0
Im no Cheat,2024-11-30,5,"gg ncek ini apknya suatu saat gw bisa pake,sekarang lagi gada uang doain usaha gw selama hidup didunia berguna untuk warga sekitar.ig gw @yudarmdn__",,0
TwoAi anonymous,2024-11-30,1,"Tidak bisa login, tidak ada tombol daftar",,5
Diosetya Prayoga,2024-11-29,1,apa benda tu?,,0
bebe luk,2024-11-29,1,mana risetnyaaa mana live nyaa giliran kyk sekarang pura pura sibuk cuih,,2
The Cevalizer,2024-11-28,1,Wkwkw buzer nya ngisi rating noh di tele 😂🫵,,1
Belanjacase belanjacase,2024-11-28,3,Ini kok aplikasi nya sering ke logout sendiri? Lalu ini sy Uda coba relogin berkali kali tidak berhasil...bingung harus komplen kemana? Tim suport masih belum optimal..mohon solusi nya..,,3
Farida Adiraf,2024-11-28,5,sinyal nya ga ada yg pernah gagal,,0
Ferry Fadly,2024-11-28,5,awal melihat margin call dan mengikuti apa yang di arahkan alhamdulillah cuan lumayan tapi belum mampu beli,,0
adit susanto,2024-11-28,5,App yang dibutuhkan,,0
26_Muhammad Al Fath,2024-11-28,1,"Gw akuin orang yang bikin aplikasi ini emang pintar, pintar dalam hal memanipulasi orang lain agar mendapatkan apa yang dia mau",,2
Koh Mod,2024-11-27,3,Bull market baby🤑🤑🤑🤑,,0
berita terkini,2024-11-27,1,yg belum daftar mending gausah daftar gada gunanya,,4
Muhammad Zaki Fauzi,2024-11-27,1,"gweh bang dibayar 1.5k buat rating ni aplikasi, jngan tanya gw bang, tanya sama rating bintang 5 yg lain :v",,1
Dimas Sugiharto,2024-11-27,1,"akademik scam tll. isi beritanya cuma copas aja. rating nya pun bayaran semua. depo depo apa sih kntl, lu kira ni tempat juday",,2
Azhar Al Jawad,2024-11-27,5,Info log in?,,0
Fahtony Alfi W,2024-11-27,5,Aku MC Mc,,0
Abdurrahman Bin Auf,2024-11-26,1,Diskusi di matikan & nggak pernah live. Alt call webiner ancur²an.Dari semua vip grup yg saya ikuti ini kelas terburuk & termahal.Gua yakin karma itu ada,,0
Im Mythic,2024-11-26,5,Cakep,,0
Vin Cent,2024-11-26,1,APLIKASI JELEK,,0
Ibnu Inu,2024-11-26,5,semoga berkembang sampai dikenal ke seluruh dunia,,0
Herman,2024-11-26,5,Good,,0
Wawan Yulianto,2024-11-26,5,"Aplikasi bagus terus tingkatkan, margin call kami tunggu, saya pekerja kantoran saya butuh informasi tersebut update dari AC n margin call, trimakasih buat bro tim n bro kaka atas bimbingannya selama in.",,0
Faris -sama,2024-11-26,5,GOAT THIMOTHY & KAKA,,0
Long Up,2024-11-26,1,Banyak call AC yg dicurigai pesanan. Skrg AC udah susah dipercaya karena memang curiga banyak agenda di belakangnya. Terlalu berpengaruh dan banyak follower pasti dapet byk tawaran di belakang yg kita ga tau dengan nominal sangat besar dan kayanya ngeliat watak Timotoy yg penggila uang ga mungkin ga nerima. Hati2 aja dan curiga setiap call yg mereka lempar.,,10
Wira Daffa A,2024-11-26,1,Scalling gigi dulu,,1
Salsa Billa,2024-11-26,5,"Sangat mantap sekali sih aplikasinya ini buat pemula seperti saya untuk belajar trading crypto, memang the best sih 👍👍",,0
naba thea,2024-11-26,1,G bsa daftar gj,,0
Gde Dwipayana,2024-11-26,5,"App yg Baguss sekali, kedapn mungkin ad notif informasi agar mendapat info terupdate",,0
Bayu Setiawan,2024-11-26,5,Sangat membantu cara belajar crypto untuk pemula,,0
Rizki - Sama,2024-11-25,1,"Jasa Rating cuma di bayar 1500 perak, mending gratis tpi B 1",,67
Raihan Arjun,2024-11-25,5,The best,,0
Muhammad Hasan Basri,2024-11-25,5,Informasi terlengkap dan terpercaya dan berguna... Pokoknya ter ter ter ter ter the best lah,,0
Muhammad,2024-11-25,5,Yoi,,0
Rudi Hidayat,2024-11-25,5,"Aplikasi yg bagus,ocok banget yg in yg di cari,untuk masalah keuangan/pekerjaan mantaafflah!",,0
Gisan Nasah,2024-11-25,5,Merubah pandangan saya tentang Uang Mantap,,0
Esa Bahtiar,2024-11-25,1,"Yang ngasih rating 5 + pake kata kata mendidik itu kita di iming imingi 1.5-2 K per riview tpi bayarannya susah, lama banget cairnya",,9
Jagoanglobal01,2024-11-25,5,Semoga AC.app yg sudah ada ini terus berkembang dalam mendukung edukasi bagi semua member AC.,,2
LaLa,2024-11-25,5,"Aplikasi yang sangat bermanfaat, materinya sangat bagus dan mudah dipahami 👍🏻",,0
Yuan,2024-11-25,1,"Kayak aplikasi pemerintah, pemiliknya buka cls 17jt tpi msih pke dc buat tempat ""edukasi"" nya. Gk worth it bet, niru the hustler tpi apliksinya aj jelek",,1
Dwi Agus Susilo,2024-11-25,1,sangat buruk,,1
Danang Nugroho,2024-11-25,5,"Recommended app, cocok untuk pemula yang mau belajar tentang crypto 🤩",,1
Jauhari Y,2024-11-25,5,aplikasi nya mudaah untuk di mengerti,,0
Prisiliautami,2024-11-25,5,Aplikasi ini baguss bermanfaat untuk semua kalangan baik dan benar aplikasi ini sangat baguss mudah dipahami semua orang,,1
Puput Pujianto,2024-11-25,1,Aplikasi sampah,,1
Tito Perdana,2024-11-25,1,"Provider data crypto tercepat dan terbaru? Aplikasi cuma comot berita dari internet yg banyak bertebaran doang. Telat juga beritanya juga gk di kurasi dulu mana yg hoak mana yg gak cuma masukin aja. Mana yg di bilang dua founder itu soal data crypto? Onchain cuma ambil dari spot on chain mana etf eth btc aja. Bilang ada bloombreg ada kaito dan lain lain, tapi kasih outlook telat semua data data juga telat semua. Mindshare itu lo kasih tau juga bisa kan. Tambah lagi omongan plin plan juga lol.",,2
Alya Azzahra,2024-11-25,5,"Aplikasi yang sangat bagus, saya masih seorang pemula di dunia percrypto-an, jadi sangat membantu saya 👍",,1
Andi Pratama,2024-11-25,1,Harus byr cumn buat loqin,,0
Sri Hero,2024-11-24,5,"gw contrarian jan 2024, gw juga pernah kesel marah² jadi member, tapi tuh kesalahan lu sendiri, kalian terlalu risk di aset² kecil, saran gw btc 70%, sisanya buat pasang buy di dibawahnya. drawdown btc skrg gk sampe 30%, naik turun juga untung, jgn ribut krn btc will alwys new ath fool. emang nih cycle pertama kalian, kasian kalian yg marah² disini, kalian kurang sabar, jadi jgn take action berlebihan",,5
Novrieza Akbar Pahlevi,2024-11-24,5,YANG BINTANG 1 MANUSIA BAYARAN YANG SANGAT MURAH... LAWAK.... AKUN FAKE SEMUA YANG BINTANG 1. BIAR APA SI BINTANG 1??? BIAR KELAS LU LAKU?? PENASARAN DI BAYAR BERAPA. DAN MUKANYA SEPERTI APA.......,,0
Momi Saroh,2024-11-24,1,yang punya aplikasi giginya kuning,,9
Yourbaby,2024-11-24,5,"Jujur semenjak kenal ini aplikasi akademi crypto saya mulai paham tentang dunia percrypto, materi yg mereka sajikan mudah dimengerti. Di aplikasi ini kita belajar tentang bitcoin/cryptocurrency.",,0
Kelvin Suanto,2024-11-24,1,Bang.. sudah bangg...,,2
Indah Lestari,2024-11-24,5,aplikasi yang sangat membantu dalam ilmu trading apalagi untuk pemula.. Materi jelas dan singkat jadi mudah untk dipahami. Pemula mau trading tp gk tau ilmunya mending buka aplikasi ini sangat berguna banget.,,0
Andi farhan Idham,2024-11-24,5,"Akademi crypto yang sangat luar biasa.Sangat bagus bagi pemula seperti saya.Materi yang disajikan sangat terstruktur dengan baik,simple dan mudah dipahami.Desainnya sangat menarik,dan menjadi tempat belajar yang menyenangkan serta sangat membantu bagi saya",,14
wahyu triya,2024-11-24,5,"Aplikasinya sangat bermanfaat, tampilannya sangat keren serta fiturnya mudah dipahami dan dipelajari.",,0
jerry Lucas,2024-11-24,5,Aplikasi edukasi terbaik,,3
Panji Icik,2024-11-24,1,"inget guys klo dia live, close dulu aja entry an nya. dark sistem parah ini. Real beban candle🤣🤣🤣🤣",,4
Jeon kookies,2024-11-24,5,"Buat yang mau belajar dunia crypto boleh banget ke sini, super lengkap dan detail banget informasinya",,0
Odeng bin,2024-11-24,5,Baguss poll,,0
Erlangga Bintang,2024-11-24,5,"Aplikasinya menarik dan bagus sekali buat pemula karena materinya sangat jelas,baik dan mudah dimengerti pokoknya the best",,0
Messi,2024-11-24,5,aplikasi akademi crypto sangat mudah untuk pemula yang baru terjun ke dunia crypto,,0
Ayu Asyifa,2024-11-24,5,Aplikasinya bagus dan cocok untuk pemula yang mau belajar cypto dan fiturnya mudah dipahami.,,0
Alipa Sahira Julianti,2024-11-24,5,Mantap akademi crypto mudah di pahami untuk pemula dan fitur nya lengkap mantap sukses selalu akademi crypto,,0
radhitkober,2024-11-24,5,"kerennm siii ,selagi mudah dipake ,juga mudah cara pengoperasiannya,aku harap aplikasi ini terus berkembang dan jadi pemimpin cripto lainyaaaaa ,semangattttttt,edukasinya bergunaaa juga jadi paham apa yang dimaksud dengan dunia digital era sekranggg",,1
Ria Riaaa,2024-11-24,5,"Aplikasi ini cukup membantu pemula seperti saya, materi yang diberikan pun cukup mudah dipahami, juga cara pembelajarannya pun menarik yang membuat saya tidak merasa bosan menggunakan aplikasi crypto.",,0
Ciiinnndy Cing,2024-11-24,5,"Makasi akademi crypto , jdi belajar tentang apa itu crypto setelah ngedownload ini",,0
Gunawan Unayasha,2024-11-24,5,Penjelasan tentang crypto disini mudah dipahami meskipun oleh yg blm mengerti sama sekali tentang crypto maupun trading,,0
Prasya Main ff,2024-11-24,5,Aplikasi ini sangat saya sarankan untuk pemula yang mau belajar tentang crypto,,0
Deni Sukaakun,2024-11-24,5,Apk nya bagus sekali,,0
Galih nugraha,2024-11-24,5,"apk nya bagus banget,cocok buat yg mau belajar crypto pokoknya🤩",,0
Rizky maulana,2024-11-24,5,Karena akademi crypto sekarang jadi bisa trading secara mandiri dan tahu banyak tentang crypto,,0
Dwi Andika,2024-11-24,5,Belajar crypto di akademi crypto ini sangat menyenangkan modul² lengkap dan penjelasanya mudah dimengerti,,0
Apen Dislaww,2024-11-24,5,"Aplikasi mudah, sangat membantu untuk catatan keuangan harian bagi yg malas catat2 seperti aku dan mudah kehilangan buku, keren aplikasinya baru kali ini nemu apk yg mudah di pahami, bagi pemula seperti saya, buruan cobain",,4
Haris Saputra12,2024-11-24,5,aplikasi menarik untuk memahami cara crypto,,0
Actortya Indi Pratama,2024-11-24,5,"Terimakasih ncek dan kalimasada aplikasi bermanfaat banget untuk orang yang masih baru terjun ke dunia crypto, worth it sih bayar segitum",,0
Kamu Nanya,2024-11-24,5,Apk ini bagus sekali untuk mengajarkan crypto,,0
Zulfiqqi Firdaus,2024-11-24,5,Aplikasi nya bagus mudah dipahami cocok lah untuk pemula kaya saya🔥,,0
Panjul,2024-11-24,1,Porto lu warna apa bos?,,3
Zomgy Un,2024-11-24,1,Mayan kasih rating biar caer aowkwkwk kelar caer gnti bintangnya hahaha,,4
Deril Cornering,2024-11-24,5,Mantap Akademi Crypto Sangat Mudah Dipahami Untuk Pemula Dan Gak Ribet Fitur Fitur Mantap Mudah Di Pahami Sukses Selalu Akademi Crypto Mantap,,0
Teh Gelas,2024-11-24,5,Aplikasinya sangat bagus banget cuy disini kalian akan belajar seputar crypto,,0
Neko Developer,2024-11-24,1,Scam,,3
Riswanda Himawan,2024-11-24,5,Kok gak bisa di akses ya,,0
Kepin Nopaldi,2024-11-24,5,Aplikasinya mudah dan cepat dimengerti,,0
Tedi Kurniawan,2024-11-24,5,"Akademi crypto sangat luar biasa , sangat bagus buat pemula seperti saya, fitur lengkap dan mudah di pahami",,0
Denise Maulana,2024-11-24,5,Aplikasi Akademi crypto memang mantap apalagi buat para pemula ini recomended banget selain mudah dipahami dan dimengerti. Sukses selalu buat Akademi crypto,,0
Yuzhoong,2024-11-24,5,"Yang suka apk cripto wajib donlod apk akademi cripto ini ,fiturnya banyak dan mudah di pahami",,0
Caesaryco Putra Wijaya 28,2024-11-24,5,Margin call prof,,0
Muhammad ihsan Noufal,2024-11-24,5,Akademi crypto nya sangat bagus gampang di cerna keren pokoknya,,0
Parlan 007,2024-11-24,5,"Terimakasih,,, sangat membantu, semoga sukses selalu kepada bor Timothy dan bro kaka",,0
Rickky Yap,2024-11-24,3,Info dong untuk log in peralihan dari discord ke app AC pake id dan pass apa?? setelah dijawab sy tambah ratingnya..,,0
Tamam H,2024-11-24,5,"aplikasi ini sangat membantu saya sebagai pemula,fiturnya banyak dan sangat bagus🤚✋",,0
birdly malian,2024-11-24,1,"jijik bgt 5 bintang dibayar cuma 1500 perak,, makan tuh b1",,5
Aditya Rizky Nurfadilah,2024-11-24,5,"Aplikasi ini sangat bagus apalagi pemula seperti saya , aplikasi nya mudah untuk digunakan gampang dipahami langkah langkahnya juga , dengan design yang menarik fitur yang lengkap , tempat belajar crypto yang paling lengkap",,0
Lita Salma,2024-11-24,5,Luar biasa saya belajar ini mulai dari awal dan mudah sekali belajar disini. Fitur fiturnya juga memudahkan user baru.,,0
Hizkia Nggaluku,2024-11-24,5,Yok margil call cuy bantu kasih rating 5,,16
Fakhrujdin,2024-11-24,5,"bagus banget aplikasinyaaa, Sangatt mudahh di mengertiii dan tidak bikin bingung pokoknya bagus untuk aplikasi akademi crypto bagus bangett",,1
Nana Naa,2024-11-24,5,"Aplikasi edukasi crypto ini sangat membantu saya memahami dunia cryptocurrency dengan lebih mudah. Dengan konten yang jelas dan terstruktur, saya bisa belajar dari dasar hingga tingkat lanjut. Sangat direkomendasikan bagi pemula",,2
Adnan Dykha,2024-11-23,1,Aplikasi ga guna banyak bug,,5
Agung Satya Mulyana,2024-11-23,5,"Mungkin dari UI masih berantakan bisa di benarkan lebih rapih lagi untuk penyajiannya, mungkin menurut saya jika apk ini data yang di berikan atau kegunaannya sama dengan yang ada di discord itu percuma sekali apk ini di buat, maka dari itu fitur, UI, dll harus di tingkatkan lagi, Untuk tahap pertama dari aplikasi ini sudah responsif, tombol, video dll. Tapi aku suka dengan aplikasi ini💞💞",,1
Nurhalifah Mansur,2024-11-23,5,"Rekomendasi bngt buat baru mau bljr tentang crypto ,, materi yg ada sngt bagus dan sangat membantu.",,0
Grety Tumiwa,2024-11-23,5,Aplikasi ini memudahkan saya untuk membeli dan menjual aset kripto. Fitur keamanan yang ditawarkan cukup meyakinkan. Saya merasa aset kripto saya aman di sini. dan Biaya transaksinya cukup kompetitif dibandingkan dengan platform lain yang pernah saya coba👍,,0
Nopel Siregar,2024-11-23,5,"Akademi Crypto sangan cocok bagi pemula, tampilan bagus dan mudah di pahami, pokoknya recommended buat para pemula yang mau belajar.",,1
alfiyasrin yasrin,2024-11-23,5,mantap edukasi nya sangat bagus mudah di pahami,,0
Noval Prasaja,2024-11-23,5,Bantu rating aja Soalnya mereka berdua yg buka mata gua,,0
Chintya Dinnaiya,2024-11-23,5,"Sangat mudah digunakan, efektif dan efesien, buat pemula wajib coba apk ini",,0
Arazawa Ryou,2024-11-23,1,"Awkowkowkowkowkowko, 1500 untuk sekali riview",,8
Dadan Setiawan,2024-11-23,5,aplikasi yg bermanfaat.sangat ccok bagi pmulaaa yg ingin blajar crypto.memudahkan pemula dalam terjun ke dunia crypto,,0
Vian Junianto,2024-11-23,5,"Cocok untuk pemula yang mau belajar crypto,penjelasan,nya mudah dipahami",,0
cii 61,2024-11-23,5,"aplikasi ini Bagus, murah, cetakannya bukan yang premium sih. Tapi yg penting isinya"" banyak",,0
Thai Tea Addict,2024-11-23,5,"Aplikasi yang bermanfaat, cocok buat newbie trader buat belajar tentang crypto, komunitas cyrpto paling top markotop, recommended!",,0
20-184 Gratia Benedicta Ginting,2024-11-23,5,"Aplikasi yang sangat mudah di mengerti bagi pemula seperti saya, semua materi gampang dicerna",,0
Noval Saputra,2024-11-23,5,Buat para pemula untuk yg ingin belajar cropto aplikasinya ini sangat cocok untuk awal memulai investasi awal kalian sangat rekomendasi karena fitur nya yg bagus nyaman dan mudah digunakan,,0
Rifal Wisnu,2024-11-23,5,Tolong perbaiki karena Tidak ada notifikasi.,,0
Putri Rahmadani,2024-11-23,5,Akademi Crypto sangat bagus juga mudah digunakan dan dipahami untuk digunakan secara baik dan teratur.,,0
Laura salwa,2024-11-23,5,Aplikasi rekomendasi banget data fitur lengkap nyaman juga di pake selain itu mudah di pahami dan mengerti,,0
Tegar Ramdhani,2024-11-23,5,Plis banget ini cocok sih untuk pemula yang baru belajar crypto,,0
Dahliani,2024-11-23,5,"Aplikasinya mudah dijalankan dan mudah di pahami, untuk pemula seperti saya yang ingin mulai belajar crypto aplikasi ini bisa membantu, aplikasi ini juga memiliki fitur yang lengkap berita tentang crypto serta update pricenya sekarang",,0
egha febri,2024-11-23,5,Aplikasinya gk ribet dan bagus buat yg suka main crypto,,0
Siti Rokayah,2024-11-23,5,"Aplikasi ini benar-benar membantu saya memahami dunia crypto dengan cara yang sederhana dan mudah dipahami. Materi edukasinya sangat lengkap, mulai dari dasar hingga strategi lanjutan, cocok untuk pemula maupun yang sudah berpengalaman. Selain itu, fitur interaktifnya membuat belajar terasa lebih menyenangkan dan tidak membosankan. Saya juga suka karena informasi yang diberikan selalu up-to-date dengan tren terbaru di dunia crypto.",,10
22-002_Aisyatun Nabila,2024-11-23,5,"Mantap sih, jadi bisa belajar banyak hal mengenai crypto",,0
Kris Tanto,2024-11-23,5,Tampat informasi dan pembelajaran tentang crypto terbaik,,0
Nindya Shelviana,2024-11-23,5,"Buat yang mau belajar pake aplikasi ini cocok banget, fiturnya lengkap dan mudah digunakan, aplikasi yang bagus dan bermanfaat",,0
crypto Dox,2024-11-23,1,KWOWKWOWKWOW REVIEW STUT AN 1 ORANG 1.500 PERAK 🤣 kelas 17 juta nyangkut di suruh sabar 🗿,,6
Davin Fernando,2024-11-23,5,Apk bgus buat para akademi crypto,,0
El haq with musa,2024-11-23,5,"untuk kalian yang baru belajar crypto, cocok banget pakai akademi crypto, karena penjelasan yang dikasih mudah banget dipahami, fiturnya juga lengkap banget. ngebantu banget sih untuk aku yang masih pemula ini",,1
kafaaarz Xx,2024-11-23,5,apk yang sangat bagus dan bermanfaat dan juga mudah digunakan,,1
Rayyy7 Wafarayy,2024-11-23,1,"IYA MEREKA DINAYAR 5RB SEKALI RIVIEW, MUNGKIN ITU CARA CARI MAKAN. BRO SEDANGKAN DIRIMU NYURUH ORANG UP RATING RATE 1,500 AWKAKWKAKWKAK LEBIH HINA YG KATA NYA DUIT M M M",,4
Tiara Puspita Sari,2024-11-23,5,Apk nya sangat bagus banget dan sangat bermanfaat sekali apk yang sangat membantu untuk belajar pemula bagi saya membantu pengalaman yang sangat lengkap dan mudah di pahami bagi pemula seperti saya untuk fitur dan desain nya juga lengkap dan mudah di mengerti,,2
Ivan Mustofa Kamal,2024-11-23,5,"Aplikasi Akademi Crypto sangat membantu memahami Cryptocurrency dengan cara sederhana dan mudah dipahami. Materinya lengkap, mulai dari dasar hingga strategi lanjutan, cocok untuk pemula maupun yang berpengalaman. Fitur kursus interaktif dan berita terkini sangat informatif. Antarmukanya bersih dan mudah digunakan. Sangat direkomendasikan untuk siapa saja yang ingin belajar tentang Crypto!",,15
ahmad rey,2024-11-23,1,Discord di tutup suara dibungkam bikin aplikasi adalah pengalihan isu !!! Bisnis dibalik edukasi,,3
Nuril UH,2024-11-23,5,"Aplikasinya mantep banget, mudah dipake terus lengkap jugaaa. Membantu banget karena fiturnya lengkap. Pokoknya bagus dan rekomended",,0
Dede Iro,2024-11-23,5,Buat pemula Download aplikasi ini buat belajar dasar-dasar crypto bagus ini.,,0
Dandi Damosa,2024-11-23,5,Udah download rasanya keren tradingnya,,0
gilang ramadhan,2024-11-22,1,"BILA ADA YG KOMEN BAGUS ITU BOHONG,KARNA BANYAK YG DI BAYAR BUAT BIKIN KOMEN BAIK BGITU KALAU TIDAK PERCAYA SAYA PUNYA BUKTI DI TELEGRAM.",,8
Ibrahim Syah,2024-11-22,5,🔥🔥🔥🔥 kelazz bangg,,0
Mobile Legend Player,2024-11-22,1,"Cuma ngerti ilmu basic di crypto pake jualan kelas segala , lu kaya cuma dari duit member . skill lu zero gw tantang kalimasada atau timoty battle future",,4
Poco F6,2024-11-22,1,"di youtube bamyak kalo cuma ilmu kaya gini doang mah, terlalu mahal",,8
Haji Imas,2024-11-22,5,Gacorr bang aplikasinya bermanfaat gak sia sia instal aplikasi ini,,0
M.SYAMSUL MA' Arif,2024-11-22,1,"Akademi ampas, tempat diskusi gaada, kasih call jarang, modul cuman basic trading aja tidak ada penjelasan spesifik, ujung ujung nya apa? Yapp belajar sendiri di yt dan x, sangat tidak worthh diharga 17jt, overvalue kek manta di harga $3,5!!!",,2
Zeine,2024-11-22,5,"Buat kalian yang baru mau belajar crypto aplikasi ini sangat cocok untuk para pemula, aplikasi ini mengedukasi tentang cara kerja crypto, semua edukasinya sangat bermanfaat",,0
Clarissa,2024-11-22,5,"Aku pemula, mo invest crypto awalnya trs coba pake apk ini di tutor lengkap bgtt cara main crypto biar hoki",,0
Aditya Tri sakti putra,2024-11-22,5,Informasi yang gak akan pernah di temuin tempat lain,,0
Crystalesia,2024-11-22,1,KEMBALIKAN DUIT SAYA COKKKKK,,6
Mas Danang,2024-11-22,5,No kmn,,0
Bintang A,2024-11-22,1,"Jangan percaya ulasan positif isinya buzzer komen template semua, liat yang ulasan kritis itu yang asli",,9
Arya Kene,2024-11-22,5,"Siap terjun ke dunia crypto setelah belajar semua tentang percrypto an di akademi crypto, sukses terusss",,0
